,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,가나안신용협동조합,본점,(465170) 경기도 하남시 하남대로934번길 3(풍산동)
1,1,지역,가평신용협동조합,본점,(477834) 경기도 가평군 조종면현창로44번길 1
2,2,지역,가평신용협동조합,지점,(477804) 경기도 가평군 가평읍가화로 55
3,3,지역,경기광주신용협동조합,본점,(12758) 경기도 광주시 중앙로 98(역동)
4,4,지역,경기광주신용협동조합,지점,(12768) 경기도 광주시 고불로 52(중대동)
5,5,지역,경기광주신용협동조합,지점,(12752) 경기도 광주시 문화로 121(경안동)
6,6,지역,경기시흥신용협동조합,본점,(14921) 경기도 시흥시 시흥대로1074번길 5(은행동)
7,7,지역,경기시흥신용협동조합,지점,(14922) 경기도 시흥시 은계번영길 1(은행동)
8,8,지역,경기시흥신용협동조합,지점,(14948) 경기도 시흥시 수인로3395번길 35(신천동)
9,9,지역,광명신용협동조합,본점,(423858) 경기도 광명시 광명로887번길 16(광명동)
10,0,지역,광명신용협동조합,지점,(14211) 경기도 광명시 광명로 958-1(광명동)
11,1,지역,광명신용협동조합,지점,(14327) 경기도 광명시 기아로6번길 18(소하동)
12,2,지역,구리신용협동조합,본점,(11928) 경기도 구리시 안골로85번길 35(수택동)
13,3,지역,군포신용협동조합,본점,(15887) 경기도 군포시 대야1로24번길 8(대야미동)
14,4,지역,군포신용협동조합,지점,(15856) 경기도 군포시 군포로 490(당동)
15,5,지역,군포신용협동조합,지점,(15806) 경기도 군포시 산본천로 211(산본동)
16,6,지역,김포신용협동조합,본점,(10098) 경기도 김포시 북변로 10(북변동)
17,7,지역,김포신용협동조합,지점,(10113) 경기도 김포시 양도로 9(풍무동)
18,8,지역,김포신용협동조합,지점,(10099) 경기도 김포시 걸포2로 1(걸포동)
19,9,지역,김포제일신용협동조합,본점,(10011) 경기도 김포시 하성면애기봉로 854
