,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
1,지역,계림신용협동조합,본점,(61412) 광주광역시 동구 계림로 53(계림동)
2,지역,광주동부신용협동조합,지점,(61464) 광주광역시 동구 남문로 689(학동)
3,지역,광주동부신용협동조합,본점,(61462) 광주광역시 동구 의재로 58(학동)
4,지역,광주문화신용협동조합,본점,(61087) 광주광역시 북구 첨단연신로91번길 20-4(신용동)
5,지역,광주문화신용협동조합,지점,(500895) 광주광역시 북구 양산로 55(양산동)
6,지역,광주문화신용협동조합,지점,(500853) 광주광역시 북구 북문대로 89(운암동)
7,지역,광주문화신용협동조합,지점,(500150) 광주광역시 북구 설죽로315번길 1(매곡동)
8,지역,광주문화신용협동조합,지점,(500832) 광주광역시 북구 첨단연신로91번길 20-4(신용동)
9,지역,광주문화신용협동조합,지점,(61128) 광주광역시 북구 문산로 38(문흥동)
10,지역,광주문화신용협동조합,지점,(61267) 광주광역시 북구 북문대로 167(운암동)
11,지역,광주문화신용협동조합,지점,(61171) 광주광역시 북구 동문대로 187(두암동)
12,지역,광주미래신용협동조합,본점,(61267) 광주광역시 북구 북문대로 153(운암동)
13,지역,광주미래신용협동조합,지점,(61903) 광주광역시 서구 하남대로 676(동천동)
14,지역,광주신안신용협동조합,본점,(61223) 광주광역시 북구 서암대로 112(신안동)
15,지역,광주신안신용협동조합,지점,(61109) 광주광역시 북구 용봉택지로 39(용봉동)
16,지역,광주신안신용협동조합,지점,(61019) 광주광역시 북구 하서로 477(본촌동)
17,지역,광주신우신용협동조합,본점,(61612) 광주광역시 남구 군분로 110(월산동)
18,지역,광주신우신용협동조합,지점,(502839) 광주광역시 서구 염화로65번길 2(화정동)
19,지역,광주신우신용협동조합,지점,(502857) 광주광역시 서구 상무대로 918(쌍촌동)
20,지역,광주신우신용협동조합,지점,(61947) 광주광역시 서구 상무중앙로 96(치평동)
21,지역,광주신우신용협동조합,지점,(61697) 광주광역시 남구 봉선로 8(주월동)
22,지역,광주어룡신용협동조합,본점,(62436) 광주광역시 광산구 송정로 15(송정동)
23,지역,광주어룡신용협동조합,지점,(62388) 광주광역시 광산구 소촌로 85(소촌동)
