,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
1,지역,광장신용협동조합,본점,(42641) 대구광역시 달서구 달구벌대로 1655-2(감삼동)
2,지역,광장신용협동조합,지점,(41839) 대구광역시 서구 평리로 253(중리동)
3,지역,내당천신용협동조합,본점,(41869) 대구광역시 서구 달서로 39-1(내당동)
4,지역,달구벌신용협동조합,본점,(42265) 대구광역시 수성구 천을로 173(매호동)
5,지역,달구벌신용협동조합,지점,(42265) 대구광역시 수성구 천을로 173(매호동)
6,지역,달구벌신용협동조합,지점,"(42284) 대구광역시 수성구 신매로 71(신매동,천마타운)"
7,지역,달구벌신용협동조합,지점,"(42113) 대구광역시 수성구 청수로 235(황금동,캐슬골드파크 2단지)"
8,지역,달구벌신용협동조합,지점,(42087) 대구광역시 수성구 달구벌대로 2492(범어동)
9,지역,달구벌신용협동조합,지점,"(42041) 대구광역시 수성구 동원로 110(만촌동,메트로팔레스3단지)"
10,지역,달구벌신용협동조합,지점,(42116) 대구광역시 수성구 명덕로 481(범어동)
11,지역,달구벌신용협동조합,지점,(42262) 대구광역시 수성구 달구벌대로 3093(시지동)
12,지역,달구벌신용협동조합,지점,"(42278) 대구광역시 수성구 달구벌대로 3280(신매동,시지 효성 백년가약 1단지)"
13,지역,달성대건신용협동조합,본점,(43005) 대구광역시 달성군 현풍읍현풍동로 5
14,지역,대경신용협동조합,지점,(42927) 대구광역시 달성군 다사읍서재로 96
15,지역,대경신용협동조합,지점,(41599) 대구광역시 북구 내곡로 30-1(사수동)
16,지역,대구가온신용협동조합,본점,(41743) 대구광역시 서구 달서로43길 18-1(비산동)
17,지역,대구대건신용협동조합,본점,(42684) 대구광역시 달서구 와룡로 98(본리동)
18,지역,대구대건신용협동조합,지점,(42620) 대구광역시 달서구 이곡동로 23(이곡동)
19,지역,대구대건신용협동조합,지점,(42786) 대구광역시 달서구 월곡로 223(상인동)
20,지역,대구대동신용협동조합,본점,(700819) 대구광역시 중구 큰장로22길 4(대신동)
21,지역,대구대동신용협동조합,지점,(41926) 대구광역시 중구 큰장로26길 45(대신동)
22,지역,대구대동신용협동조합,지점,"(41930) 대구광역시 중구 달구벌대로 1943(대신동,e편한세상 대신)"
23,지역,대구대서신용협동조합,본점,(41711) 대구광역시 서구 서대구로 305(비산동)
24,지역,대구대서신용협동조합,지점,(41732) 대구광역시 서구 원대로 43-1(원대동1가)
25,지역,대구대서신용협동조합,지점,(41557) 대구광역시 북구 팔달로 149(노원동3가)
26,지역,대구대서신용협동조합,지점,(41593) 대구광역시 북구 침산로21길 41(칠성동2가)
27,지역,대구성서신용협동조합,본점,(42619) 대구광역시 달서구 선원남로 84(이곡동)
28,지역,대구성서신용협동조합,지점,(711821) 대구광역시 달성군 하빈면달구벌대로55길 100-1
29,지역,대구성서신용협동조합,지점,(42918) 대구광역시 달성군 다사읍죽곡1길 42(대실역 e-편한세상)
30,지역,대구수성신용협동조합,본점,(42069) 대구광역시 수성구 교학로 36(만촌동)
31,지역,대구신라신용협동조합,본점,(42815) 대구광역시 달서구 상인로 9(상인동)
32,지역,대구신라신용협동조합,지점,(42829) 대구광역시 달서구 갈밭남로 40(대곡동)
33,지역,대구영광신용협동조합,본점,(42070) 대구광역시 수성구 달구벌대로 2672(만촌동)
34,지역,대구영광신용협동조합,지점,"(42198) 대구광역시 수성구 용학로 316(범물동,범물영남보성아파트)"
35,지역,대구칠곡신용협동조합,본점,(702886) 대구광역시 북구 대천로 89(동천동)
36,지역,대구칠곡신용협동조합,지점,(702864) 대구광역시 북구 태전로 36(태전동)
37,지역,대구칠곡신용협동조합,지점,(41442) 대구광역시 북구 칠곡중앙대로 527(읍내동)
38,지역,대구칠곡신용협동조합,지점,(41424) 대구광역시 북구 학정로 436(구암동)
39,지역,대구칠곡신용협동조합,지점,(41438) 대구광역시 북구 구암로21길 1(읍내동)
40,지역,대구칠성신용협동조합,본점,(41582) 대구광역시 북구 공평로 158(칠성동1가)
41,지역,대구칠성신용협동조합,지점,"(41586) 대구광역시 북구 칠성로 31(칠성동2가,)"
42,지역,대구태영신용협동조합,본점,(702856) 대구광역시 북구 침산남로 170(침산동)
43,지역,대구한일신용협동조합,본점,"(41903) 대구광역시 중구 태평로 177(태평로1가,태평라이프아파트)"
44,지역,대봉천신용협동조합,본점,(41955) 대구광역시 중구 대봉로 203(대봉동)
45,지역,대봉천신용협동조합,지점,"(41954) 대구광역시 중구 동덕로 55(대봉동,대봉태왕아너스)"
46,지역,데레사신용협동조합,본점,(41941) 대구광역시 중구 동성로4길 60(삼덕동1가)
47,지역,데레사신용협동조합,지점,(41933) 대구광역시 중구 서성로 10(계산동2가)
48,지역,동대구신용협동조합,본점,(41946) 대구광역시 중구 국채보상로 742(동인동4가)
49,지역,동촌신용협동조합,본점,(701862) 대구광역시 동구 해동로 213-1(검사동)
50,지역,동촌신용협동조합,지점,(702822) 대구광역시 북구 신암로 57(대현동)
51,지역,방촌신용협동조합,본점,(41146) 대구광역시 동구 동촌로 245(방촌동)
52,지역,방촌신용협동조합,지점,"(41147) 대구광역시 동구 화랑로80길 8(방촌동,우방강촌마을)"
53,지역,방촌신용협동조합,지점,(41087) 대구광역시 동구 동호로5길 2(신서동)
54,지역,방촌신용협동조합,지점,(41036) 대구광역시 동구 팔공로 144(불로동)
55,지역,북대구신용협동조합,본점,(702886) 대구광역시 북구 동천로23길 18(동천동)
56,지역,북성신용협동조합,본점,(41916) 대구광역시 중구 종로 95(북성로2가)
57,지역,북성신용협동조합,지점,(41969) 대구광역시 중구 남산로4길 90(남산동)
58,지역,산격한마음신용협동조합,본점,(41535) 대구광역시 북구 대학로 145(산격동)
59,지역,산격한마음신용협동조합,지점,(41524) 대구광역시 북구 공항로5길 11(복현동)
60,지역,삼원신용협동조합,본점,(703803) 대구광역시 서구 서대구로 59(내당동)
61,지역,삼원신용협동조합,지점,(41863) 대구광역시 서구 달구벌대로 1807(내당동)
62,지역,삼익신용협동조합,본점,(42661) 대구광역시 달서구 달구벌대로 1862(두류동)
63,지역,삼익신용협동조합,지점,(42646) 대구광역시 달서구 달구벌대로 1720(두류동)
64,지역,삼익신용협동조합,지점,(42627) 대구광역시 달서구 평리로 64(용산동)
65,지역,삼익신용협동조합,지점,(704809) 대구광역시 달서구 월배로 180(상인동)
66,지역,삼익신용협동조합,지점,(42609) 대구광역시 달서구 계대동문로 49(신당동)
67,지역,삼익신용협동조합,지점,(42770) 대구광역시 달서구 월배로 50(진천동)
68,지역,새누리신용협동조합,본점,(42416) 대구광역시 남구 중앙대로 201(대명동)
69,지역,서대구신용협동조합,본점,(703812) 대구광역시 서구 달서로26길 2(비산동)
70,지역,서대구신용협동조합,지점,(703838) 대구광역시 서구 북비산로 294(평리동)
71,지역,서대구신용협동조합,지점,(703850) 대구광역시 서구 국채보상로 163(평리동)
72,지역,서대구신용협동조합,지점,(41824) 대구광역시 서구 서대구로 116(평리동)
73,지역,성삼우리신용협동조합,본점,(41578) 대구광역시 북구 중앙대로 584(침산동)
74,지역,성삼우리신용협동조합,지점,(41550) 대구광역시 북구 성북로9길 7(침산동)
75,지역,성삼우리신용협동조합,지점,(41557) 대구광역시 북구 노원로 34(노원동3가)
76,지역,세림신용협동조합,본점,(41535) 대구광역시 북구 동북로 150(산격동)
77,지역,세림신용협동조합,지점,(41477) 대구광역시 북구 서변로 83(서변동)
78,지역,소화신용협동조합,본점,(42454) 대구광역시 남구 양지로 12(대명동)
79,지역,소화신용협동조합,지점,"(42511) 대구광역시 남구 대덕로 166(봉덕동,앞산 힐스테이트)"
80,지역,소화신용협동조합,지점,"(42480) 대구광역시 남구 대명로 83(대명동,드림팰리스)"
81,지역,송라신용협동조합,본점,(701832) 대구광역시 동구 국채보상로 781(신천동)
82,지역,송라신용협동조합,지점,(41098) 대구광역시 동구 안심로22길 16(율하동)
83,지역,신암천신용협동조합,본점,(41208) 대구광역시 동구 아양로 52(신암동)
84,지역,월성신용협동조합,본점,"(42750) 대구광역시 달서구 학산로2길 39(월성동,월성영남맨션)"
85,지역,월성신용협동조합,지점,(42753) 대구광역시 달서구 조암로 32(월성동)
86,지역,중앙로신용협동조합,본점,(41909) 대구광역시 중구 중앙대로 432-23(동성로2가)
87,지역,중앙로신용협동조합,지점,(41908) 대구광역시 중구 동덕로 174-1(동인동2가)
88,지역,청신신용협동조합,본점,(42400) 대구광역시 남구 성당로60길 19(대명동)
89,지역,청운신용협동조합,본점,(706826) 대구광역시 수성구 들안로 416(범어동)
90,지역,청운신용협동조합,본점,(42009) 대구광역시 수성구 들안로 416(범어동)
91,지역,청운신용협동조합,지점,"(706904) 대구광역시 수성구 국채보상로 846(범어동,청구성조타운)"
92,지역,청운신용협동조합,지점,(42089) 대구광역시 수성구 달구벌대로 2550(범어동)
93,지역,청운신용협동조합,지점,(706032) 대구광역시 수성구 명덕로 399(수성동2가)
94,지역,청운신용협동조합,지점,"(42195) 대구광역시 수성구 지산로 48(지산동,지산청구)"
95,지역,청운신용협동조합,지점,"(42171) 대구광역시 수성구 동대구로 59(두산동,대우트럼프월드수성아파트)"
96,지역,청운신용협동조합,지점,"(706777) 대구광역시 수성구 수성로 412(수성동4가,수성보성타운)"
97,지역,청운신용협동조합,지점,(706170) 대구광역시 수성구 달구벌대로649길 21(신매동)
98,지역,청운신용협동조합,지점,(706814) 대구광역시 수성구 지범로 208(범물동)
99,지역,청운신용협동조합,지점,"(42019) 대구광역시 수성구 동대구로 337(범어동,범어화성파크리젠시)"
100,지역,청운신용협동조합,지점,(42164) 대구광역시 수성구 수성로 104(상동)
101,지역,팔공신용협동조합,본점,(701815) 대구광역시 동구 아양로 66(신암동)
102,지역,팔공신용협동조합,지점,(41078) 대구광역시 동구 경안로 744(동호동)
103,지역,팔공신용협동조합,지점,"(41129) 대구광역시 동구 안심로7길 7(용계동,율하역엘크루아파트)"
104,지역,팔공신용협동조합,지점,(41218) 대구광역시 동구 신암남로 155(신암동)
105,지역,포산신용협동조합,본점,(43005) 대구광역시 달성군 현풍읍현풍중앙로 64
106,지역,포산신용협동조합,지점,(42979) 대구광역시 달성군 논공읍논공로21길 11
107,지역,포산신용협동조합,지점,(42995) 대구광역시 달성군 현풍읍테크노중앙대로5길 1-7
108,지역,포산신용협동조합,지점,(43008) 대구광역시 달성군 구지면과학마을로 46
109,지역,한아름신용협동조합,본점,(41255) 대구광역시 동구 동부로 76(신천동)
110,지역,해성신용협동조합,본점,(41524) 대구광역시 북구 복현로 129(복현동)
111,지역,해성신용협동조합,지점,(41511) 대구광역시 북구 검단로49길 7(검단동)
112,지역,해성신용협동조합,지점,(41571) 대구광역시 북구 대현남로9길 2(대현동)
113,지역,화원신용협동조합,본점,(42947) 대구광역시 달성군 화원읍비슬로 2563
114,지역,효천신용협동조합,본점,(701844) 대구광역시 동구 효목로 37(효목동)
115,지역,효천신용협동조합,지점,(41172) 대구광역시 동구 아양로50길 135(효목동)
116,단체,대구건축사신용협동조합,본점,(42012) 대구광역시 수성구 국채보상로 870(범어동)
117,단체,대구경북치과의사신용협동조합,본점,(42187) 대구광역시 수성구 지범로 61(두산동)
118,단체,대구한의사신용협동조합,본점,(42146) 대구광역시 수성구 동대구로 159(황금동)
119,단체,대구희망신용협동조합,본점,(700192) 대구광역시 중구 종로 31-1(종로2가)
120,단체,두산천주교회신용협동조합,본점,(42216) 대구광역시 수성구 지산로3길 125(두산동)
121,단체,보현사신용협동조합,본점,"(41967) 대구광역시 중구 중앙대로67길 10(남산동,반월당삼정그린코아아파트)"
122,직장,수성대학교신용협동조합,본점,(42078) 대구광역시 수성구 달구벌대로528길 15(만촌동)
123,직장,신용보증기금신용협동조합,본점,(41068) 대구광역시 동구 첨단로 7(신서동)
124,직장,영남대학교의료원신용협동조합,본점,(705717) 대구광역시 남구 현충로 170(대명동)
125,직장,파티마신용협동조합,본점,(41199) 대구광역시 동구 아양로 99(신암동)
