,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,가나안신용협동조합,지점,(134838) 서울특별시 강동구 천호대로 1487(상일동)
1,1,지역,가나안신용협동조합,지점,(05223) 서울특별시 강동구 고덕로 385(고덕동)
2,2,지역,가나안신용협동조합,지점,(05211) 서울특별시 강동구 아리수로93길 33(강일동)
3,3,지역,가락신용협동조합,본점,(05699) 서울특별시 송파구 양재대로 932(가락동)
4,4,지역,가락신용협동조합,지점,(05625) 서울특별시 송파구 송파대로 454(송파동)
5,5,지역,강남신용협동조합,본점,(151903) 서울특별시 관악구 조원로4길 6(신림동)
6,6,지역,강북신용협동조합,본점,(02787) 서울특별시 성북구 돌곶이로 59(석관동)
7,7,지역,강서신용협동조합,본점,(07517) 서울특별시 강서구 양천로 97(방화동)
8,8,지역,강서신용협동조합,지점,(07639) 서울특별시 강서구 강서로 271(내발산동)
9,9,지역,경동신용협동조합,본점,(02478) 서울특별시 동대문구 고산자로 487(제기동)
