,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,세종부강신용협동조합,본점,(339941) 세종특별자치시 부강면부강5길 3
1,1,지역,세종부강신용협동조합,지점,(30151) 세종특별자치시 한누리대로 2016(소담동)
2,2,지역,세종신용협동조합,본점,(30083) 세종특별자치시 금남면용포로 88
3,3,지역,세종신용협동조합,지점,"(30130) 세종특별자치시 누리로 54(한솔동,첫마을5단지)"
4,4,지역,세종신용협동조합,지점,(30150) 세종특별자치시 남세종로 446(보람동)
5,5,지역,세종신용협동조합,지점,(30153) 세종특별자치시 한누리대로 2257(대평동)
6,6,지역,세종신용협동조합,지점,(30146) 세종특별자치시 한누리대로 1820(반곡동)
7,7,지역,세종우리신용협동조합,본점,(339882) 세종특별자치시 조치원읍새내로 89
8,8,지역,세종우리신용협동조합,지점,(30063) 세종특별자치시 고운서길 10(고운동)
9,9,지역,세종우리신용협동조합,지점,(30127) 세종특별자치시 한누리대로 237(나성동)
10,0,지역,세종중앙신용협동조합,본점,(339883) 세종특별자치시 조치원읍새내10길 15
11,1,지역,세종중앙신용협동조합,지점,(339003) 세종특별자치시 한누리대로 193(나성동)
12,2,지역,세종중앙신용협동조합,지점,(30100) 세종특별자치시 보듬3로 8-13(도담동)
13,3,지역,세종중앙신용협동조합,지점,(30124) 세종특별자치시 다정중앙로 51(다정동)
14,4,지역,전의신용협동조합,본점,(30004) 세종특별자치시 전의면만세길 5
15,5,지역,전의신용협동조합,지점,(30001) 세종특별자치시 소정면소정구길 198
