,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,감물신용협동조합,본점,(28006) 충청북도 괴산군 감물면충민로신대길 8
1,1,지역,광혜원신용협동조합,본점,(27805) 충청북도 진천군 광혜원면장기1안길 2
2,2,지역,괴산신용협동조합,본점,(28030) 충청북도 괴산군 괴산읍읍내로12길 8
3,3,지역,국일신용협동조합,본점,(361827) 충청북도 청주시 서원구 사운로 100-1(사직동)
4,4,지역,금왕신용협동조합,본점,(27636) 충청북도 음성군 금왕읍무극로 310-1
5,5,지역,금왕신용협동조합,지점,(27619) 충청북도 음성군 생극면음성로 1675
6,6,지역,금왕신용협동조합,지점,(27633) 충청북도 음성군 금왕읍무극로 220
7,7,지역,남부신용협동조합,본점,(27399) 충청북도 충주시 형설로 115(용산동)
8,8,지역,남부신용협동조합,지점,(380090) 충청북도 충주시 남산로 99(용산동)
9,9,지역,남청주신용협동조합,본점,(360810) 충청북도 청주시 상당구 월평로 188(용암동)
