,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,거제중앙신용협동조합,본점,(656936) 경상남도 거제시 중곡로3길 15(고현동)
1,1,지역,거제중앙신용협동조합,지점,(53267) 경상남도 거제시 장평로 20(장평동)
2,2,지역,거창신용협동조합,본점,(50133) 경상남도 거창군 거창읍중앙로 119-2
3,3,지역,거창신용협동조합,지점,(50131) 경상남도 거창군 거창읍거열로 84
4,4,지역,경남고성신용협동조합,본점,(52942) 경상남도 고성군 고성읍중앙로43번길 23
5,5,지역,경남동부신용협동조합,본점,(645310) 경상남도 창원시 진해구 동진로143번길 2(덕산동)
6,6,지역,경남동부신용협동조합,지점,(51607) 경상남도 창원시 진해구 안청북로 33(청안동)
7,7,지역,경남동부신용협동조합,지점,(51661) 경상남도 창원시 진해구 냉천로 72-1(석동)
8,8,지역,경남동부신용협동조합,지점,(51649) 경상남도 창원시 진해구 충장로523번길 7(풍호동)
9,9,지역,경남동부신용협동조합,지점,(51680) 경상남도 창원시 진해구 중원동로 66(대흥동)
