,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,광장신용협동조합,본점,(42641) 대구광역시 달서구 달구벌대로 1655-2(감삼동)
1,1,지역,광장신용협동조합,지점,(41839) 대구광역시 서구 평리로 253(중리동)
2,2,지역,내당천신용협동조합,본점,(41869) 대구광역시 서구 달서로 39-1(내당동)
3,3,지역,달구벌신용협동조합,본점,(42265) 대구광역시 수성구 천을로 173(매호동)
4,4,지역,달구벌신용협동조합,지점,(42265) 대구광역시 수성구 천을로 173(매호동)
5,5,지역,달구벌신용협동조합,지점,"(42284) 대구광역시 수성구 신매로 71(신매동,천마타운)"
6,6,지역,달구벌신용협동조합,지점,"(42113) 대구광역시 수성구 청수로 235(황금동,캐슬골드파크 2단지)"
7,7,지역,달구벌신용협동조합,지점,(42087) 대구광역시 수성구 달구벌대로 2492(범어동)
8,8,지역,달구벌신용협동조합,지점,"(42041) 대구광역시 수성구 동원로 110(만촌동,메트로팔레스3단지)"
9,9,지역,달구벌신용협동조합,지점,(42116) 대구광역시 수성구 명덕로 481(범어동)
