,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,광안신용협동조합,본점,(48297) 부산광역시 수영구 수영로 586-1(광안동)
1,1,지역,광안신용협동조합,지점,(48283) 부산광역시 수영구 광안해변로 292(민락동)
2,2,지역,광안신용협동조합,지점,(48227) 부산광역시 수영구 수영로 711(수영동)
3,3,지역,광안신용협동조합,지점,(48297) 부산광역시 수영구 수영로 586-1(광안동)
4,4,지역,광안신용협동조합,지점,(48063) 부산광역시 해운대구 해운대로 403(우동)
5,5,지역,광안신용협동조합,지점,(48101) 부산광역시 해운대구 해운대로 724(중동)
6,6,지역,광안신용협동조합,지점,"(48234) 부산광역시 수영구 연수로 276(망미동,최신망미)"
7,7,지역,광안신용협동조합,지점,(47572) 부산광역시 연제구 과정로 106(연산동)
8,8,지역,구남신용협동조합,본점,(46649) 부산광역시 북구 백양대로 1037(구포동)
9,9,지역,구덕신용협동조합,본점,(49218) 부산광역시 서구 대영로74번길 17(동대신동1가)
