,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,강화신용협동조합,본점,(417802) 인천광역시 강화군 강화읍강화대로 372
1,1,지역,강화신용협동조합,지점,(23031) 인천광역시 강화군 강화읍북문길 2
2,2,지역,검단신용협동조합,본점,"(22635) 인천광역시 서구 완정로 158(마전동,)"
3,3,지역,검단신용협동조합,지점,(22631) 인천광역시 서구 검단로768번길 4(불로동)
4,4,지역,계산신용협동조합,본점,(21052) 인천광역시 계양구 계산천동로 23(계산동)
5,5,지역,계산신용협동조합,지점,(21049) 인천광역시 계양구 계양대로 214(계산동)
6,6,지역,계산신용협동조합,지점,(21033) 인천광역시 계양구 계양산로 194(임학동)
7,7,지역,계양신용협동조합,본점,(407816) 인천광역시 계양구 봉오대로 650(작전동)
8,8,지역,계양신용협동조합,지점,(407832) 인천광역시 계양구 효서로 39(효성동)
9,9,지역,계양신용협동조합,지점,(407831) 인천광역시 계양구 안남로490번길 14(효성동)
10,0,지역,계양신용협동조합,지점,(407060) 인천광역시 계양구 아나지로417번길 20(작전동)
11,1,지역,계양신용협동조합,지점,(407826) 인천광역시 계양구 길마로 59(효성동)
12,2,지역,계양신용협동조합,지점,(407813) 인천광역시 계양구 계산새로65번길 9(계산동)
13,3,지역,남동신용협동조합,본점,(21519) 인천광역시 남동구 백범로 222(만수동)
14,4,지역,남동신용협동조합,지점,(21539) 인천광역시 남동구 백범로 121(만수동)
15,5,지역,남인천신용협동조합,본점,(21451) 인천광역시 부평구 배곶로 64(십정동)
16,6,지역,남인천신용협동조합,지점,(22139) 인천광역시 미추홀구 경인로 347(주안동)
17,7,지역,답동신용협동조합,본점,(22321) 인천광역시 중구 제물량로 122(답동)
18,8,지역,대성신용협동조합,본점,(22329) 인천광역시 중구 서해대로454번길 5-1(신흥동2가)
19,9,지역,대성신용협동조합,지점,(22508) 인천광역시 동구 석수로 17(만석동)
20,0,지역,도화동신용협동조합,본점,(22104) 인천광역시 미추홀구 동산로 6(도화동)
21,1,지역,도화동신용협동조합,지점,(402836) 인천광역시 미추홀구 석정로 385-5(주안동)
22,2,지역,동암신용협동조합,본점,(21438) 인천광역시 부평구 동암남로 15(십정동)
23,3,지역,동암신용협동조합,지점,"(21434) 인천광역시 부평구 아트센터로 118(십정동,동암신동아아파트)"
24,4,지역,동암신용협동조합,본점,(21438) 인천광역시 부평구 동암남로 15(십정동)
25,5,지역,동인천신용협동조합,본점,(22510) 인천광역시 동구 화도진로 127(화수동)
26,6,지역,만수중앙신용협동조합,본점,(21596) 인천광역시 남동구 장승남로 46-1(만수동)
27,7,지역,만수중앙신용협동조합,지점,(21617) 인천광역시 남동구 서창남순환로216번길 17(서창동)
28,8,지역,미추홀신용협동조합,본점,(21309) 인천광역시 부평구 세월천로 59(산곡동)
29,9,지역,미추홀신용협동조합,지점,(21304) 인천광역시 부평구 마장로 451(청천동)
30,0,지역,미추홀신용협동조합,지점,(403801) 인천광역시 부평구 주부토로 261(갈산동)
31,1,지역,미추홀신용협동조합,지점,(403835) 인천광역시 부평구 안남로 261(산곡동)
32,2,지역,부평대건신용협동조합,본점,(403839) 인천광역시 부평구 화랑북로 15-3(산곡동)
33,3,지역,부평대건신용협동조합,지점,"(403763) 인천광역시 부평구 부영로 196(부평동,대림아파트)"
34,4,지역,부평신용협동조합,본점,(403820) 인천광역시 부평구 부흥로 318(부평동)
35,5,지역,부평신용협동조합,지점,"(21340) 인천광역시 부평구 체육관로 27(삼산동,삼산타운)"
