,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,강진신용협동조합,본점,(59229) 전라남도 강진군 강진읍중앙로 107
1,1,지역,광양중앙신용협동조합,본점,(57741) 전라남도 광양시 광양읍칠성로 59
2,2,지역,광양중앙신용협동조합,지점,(57795) 전라남도 광양시 중마중앙로 49(중동)
3,3,지역,광주중앙신용협동조합,지점,(57344) 전라남도 담양군 담양읍지침6길 12
4,4,지역,꿀벌신용협동조합,본점,(530830) 전라남도 목포시 옥암로 191(석현동)
5,5,지역,꿀벌신용협동조합,지점,(530310) 전라남도 목포시 영산로121번길 35(남교동)
6,6,지역,꿀벌신용협동조합,지점,(534821) 전라남도 무안군 삼향읍대죽동로16번길 22
7,7,지역,나주신용협동조합,본점,(520110) 전라남도 나주시 나주로 127(금성동)
8,8,지역,나주이화신용협동조합,본점,(520824) 전라남도 나주시 금천면금영로 967
9,9,지역,나주이화신용협동조합,지점,(58217) 전라남도 나주시 상야1길 21(빛가람동)
10,0,지역,녹동신용협동조합,본점,(59558) 전라남도 고흥군 도양읍명동길 5-10
11,1,지역,녹동신용협동조합,지점,(59543) 전라남도 고흥군 고흥읍봉황길 31
12,2,지역,담양한빛신용협동조합,본점,(57328) 전라남도 담양군 대전면추성1로 196
13,3,지역,담양한빛신용협동조합,지점,(517804) 전라남도 담양군 담양읍지침3길 17
14,4,지역,목포대성신용협동조합,본점,(530820) 전라남도 목포시 청호로 160-1(산정동)
15,5,지역,목포대성신용협동조합,지점,(58640) 전라남도 목포시 양을로 39(산정동)
16,6,지역,목포대성신용협동조합,지점,(530810) 전라남도 목포시 연산로 157(산정동)
17,7,지역,목포신용협동조합,본점,(58693) 전라남도 목포시 비파로 35(상동)
18,8,지역,목포신용협동조합,지점,(58723) 전라남도 목포시 호남로52번길 16(창평동)
19,9,지역,목포신용협동조합,지점,(534821) 전라남도 무안군 삼향읍남악3로 80
20,0,지역,목포신용협동조합,지점,(58650) 전라남도 목포시 용당로 223(용당동)
21,1,지역,목포우리신용협동조합,본점,(58711) 전라남도 목포시 마파지로 33(대성동)
