,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,고창신용협동조합,본점,(56438) 전라북도 고창군 고창읍동리로 46
1,1,지역,고창신용협동조합,지점,(56402) 전라북도 고창군 해리면해리중앙로 93-1
2,2,지역,군산대건신용협동조합,본점,(573042) 전라북도 군산시 중앙로 101-1(중앙로2가)
3,3,지역,군산대건신용협동조합,지점,(573870) 전라북도 군산시 대학로 267(나운동)
4,4,지역,군산반석신용협동조합,지점,(54025) 전라북도 군산시 월명로 466(명산동)
5,5,지역,군산반석신용협동조합,본점,(54140) 전라북도 군산시 백토로 192(나운동)
6,6,지역,군산오룡신용협동조합,본점,(573110) 전라북도 군산시 미원로 7(오룡동)
7,7,지역,군산오룡신용협동조합,지점,"(573370) 전라북도 군산시 수송동로 100(수송동,군산수송세영 리첼아파트)"
8,8,지역,군산월명신용협동조합,본점,(573370) 전라북도 군산시 축동안길 42-1(수송동)
9,9,지역,군산월명신용협동조합,지점,(573060) 전라북도 군산시 월명로 482(월명동)
