,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,공주동부신용협동조합,본점,(314802) 충청남도 공주시 번영1로 179(신관동)
1,1,지역,공주동부신용협동조합,지점,(314805) 충청남도 공주시 무령로 295(옥룡동)
2,2,지역,공주신용협동조합,본점,(314801) 충청남도 공주시 대통1길 69-1(반죽동)
3,3,지역,공주신용협동조합,지점,(32567) 충청남도 공주시 신금1길 83(금흥동)
4,4,지역,공주중앙신용협동조합,본점,(32547) 충청남도 공주시 무령로 212(중동)
5,5,지역,공주중앙신용협동조합,지점,(32585) 충청남도 공주시 신관로 44(신관동)
6,6,지역,금산신용협동조합,본점,(32738) 충청남도 금산군 금산읍비범로 11
7,7,지역,금산중앙신용협동조합,본점,(312802) 충청남도 금산군 금산읍비선길 71-16
8,8,지역,내포신용협동조합,본점,(32406) 충청남도 예산군 덕산면덕산온천로 447
9,9,지역,내포신용협동조합,지점,(32403) 충청남도 예산군 고덕면고덕중앙로 53
